2025-12-09 10:17:21 | ERROR    | action_executor:execute_action:143 - Action timeout (60s): advanced_login
2025-12-09 10:17:21 | ERROR    | websocket_client:send:214 - Send error: received 1011 (internal error) keepalive ping timeout; then sent 1011 (internal error) keepalive ping timeout
2025-12-09 10:26:39 | ERROR    | browser_controller:open_browser:145 - ❌ Failed to open browser for profile k17m5o28: Port 50968 not responding
2025-12-09 10:26:39 | ERROR    | warming_executor:_execute_warming:145 - Warming failed: execution_id=315, error=Failed to open browser for profile k17m5o28
2025-12-09 10:38:54 | ERROR    | action_executor:execute_action:143 - Action timeout (60s): advanced_login
2025-12-09 10:38:54 | ERROR    | action_executor:_take_debug_screenshot:70 - Screenshot failed: HTTPConnectionPool(host='localhost', port=54266): Max retries exceeded with url: /session/b5638855ef71b47f55ed1e99dbfc3c16/screenshot (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10e4494c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 10:38:54 | ERROR    | warming_executor:_execute_warming:108 - Action 7 failed: HTTPConnectionPool(host='localhost', port=54266): Max retries exceeded with url: /session/b5638855ef71b47f55ed1e99dbfc3c16/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10e422910>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 10:38:54 | ERROR    | warming_executor:_execute_warming:108 - Action 8 failed: HTTPConnectionPool(host='localhost', port=54266): Max retries exceeded with url: /session/b5638855ef71b47f55ed1e99dbfc3c16/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10e4538e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 10:38:54 | ERROR    | warming_executor:_execute_warming:108 - Action 9 failed: HTTPConnectionPool(host='localhost', port=54266): Max retries exceeded with url: /session/b5638855ef71b47f55ed1e99dbfc3c16/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10e453dc0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 10:38:54 | ERROR    | warming_executor:_execute_warming:108 - Action 10 failed: HTTPConnectionPool(host='localhost', port=54266): Max retries exceeded with url: /session/b5638855ef71b47f55ed1e99dbfc3c16/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10e422b80>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 10:38:54 | ERROR    | websocket_client:send:214 - Send error: received 1011 (internal error) keepalive ping timeout; then sent 1011 (internal error) keepalive ping timeout
