2025-12-15 15:44:13 | ERROR    | websocket_client:_send_progress:209 - 🔴 CRITICAL EVENT: ip_blocked - IP blocked or access denied
2025-12-15 16:07:46 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:07:56 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:08:06 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:08:16 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:08:26 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:08:36 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:08:46 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:08:56 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:09:06 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:09:17 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:09:27 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:09:37 | ERROR    | websocket_client:connect:79 - WebSocket error: did not receive a valid HTTP response
2025-12-15 16:09:47 | ERROR    | websocket_client:connect:79 - WebSocket error: did not receive a valid HTTP response
2025-12-15 16:09:57 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:10:07 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:10:17 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:10:27 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:10:37 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:10:47 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:10:57 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:11:07 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:11:17 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:11:27 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:11:37 | ERROR    | websocket_client:connect:79 - WebSocket error: did not receive a valid HTTP response
2025-12-15 16:11:47 | ERROR    | websocket_client:connect:79 - WebSocket error: did not receive a valid HTTP response
2025-12-15 16:11:57 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:12:07 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:12:17 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:12:27 | ERROR    | websocket_client:connect:79 - WebSocket error: did not receive a valid HTTP response
2025-12-15 16:12:37 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:12:47 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:12:57 | ERROR    | websocket_client:connect:79 - WebSocket error: did not receive a valid HTTP response
2025-12-15 16:13:07 | ERROR    | websocket_client:connect:79 - WebSocket error: did not receive a valid HTTP response
2025-12-15 16:13:17 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:13:27 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:13:37 | ERROR    | websocket_client:connect:79 - WebSocket error: did not receive a valid HTTP response
2025-12-15 16:13:47 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
2025-12-15 16:13:57 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.18.140', 8000)
